ticker,company,cik
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,1658551.0
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,1862463.0
AMODW,Alpha Modus Holdings Inc. Warrant,1862463.0
AMPG,Amplitech Group Inc. Common Stock,1518461.0
AMPGR,Amplitech Group Inc. Series A Right,1518461.0
AMPGZ,Amplitech Group Inc. Series B Right,1518461.0
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,1297184.0
AMPL,Amplitude Inc. Class A Common Stock,1866692.0
AMRN,Amarin Corporation plc,897448.0
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,1723128.0
AMSC,American Superconductor Corporation Common Stock,880807.0
AMSF,AMERISAFE Inc. Common Stock,1018979.0
AMST,Amesite Inc. Common Stock,1807166.0
AMTX,Aemetis Inc. (DE) Common Stock,738214.0
AMWD,American Woodmark Corporation Common Stock,794619.0
AMZN,Amazon.com Inc. Common Stock,1018724.0
ANAB,AnaptysBio Inc. Common Stock,1370053.0
ANDE,Andersons Inc. (The) Common Stock,821026.0
ANGH,Anghami Inc. Ordinary Shares,1871983.0
ANGHW,Anghami Inc. Warrants,1871983.0
ANGI,Angi Inc. Class A Common Stock,1705110.0
ANGO,AngioDynamics Inc. Common Stock,1275187.0
ANIK,Anika Therapeutics Inc. Common Stock,898437.0
ANIP,ANI Pharmaceuticals Inc.,1023024.0
ANIX,Anixa Biosciences Inc. Common Stock,715446.0
ANL,Adlai Nortye Ltd. American Depositary Shares,1944552.0
ANNA,AleAnna Inc. Class A Common Stock,1845123.0
ANNAW,AleAnna Inc. Warrant,1845123.0
ANNX,Annexon Inc. Common Stock,1528115.0
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,2031688.0
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,1854149.0
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,2044255.0
ANTX,AN2 Therapeutics Inc. Common Stock,1880438.0
ANY,Sphere 3D Corp. Common Shares,1591956.0
AOSL,Alpha and Omega Semiconductor Limited Common Shares,1387467.0
AOUT,American Outdoor Brands Inc. Common Stock,1808997.0
APAC,StoneBridge Acquisition II Corporation Class A Ordinary Shares,2043630.0
APACR,StoneBridge Acquisition II Corporation Rights,2043630.0
APACU,StoneBridge Acquisition II Corporation Units,2043630.0
APAD,A Paradise Acquisition Corp. Class A Ordinary Shares,1956439.0
APADR,A Paradise Acquisition Corp. Rights,1956439.0
APC,ARKO Petroleum Corp. Class A Common Stock,2080921.0
APEI,American Public Education Inc. Common Stock,1201792.0
APGE,Apogee Therapeutics Inc. Common Stock,1974640.0
API,Agora Inc. American Depositary Shares,1802883.0
APLD,Applied Digital Corporation Common Stock,1144879.0
APLM,Apollomics Inc. Class A Ordinary Shares,1944885.0
APLMW,Apollomics Inc. Warrant,1944885.0
APLS,Apellis Pharmaceuticals Inc. Common Stock,1492422.0
APM,Aptorum Group Limited Class A Ordinary Shares,1734005.0
APOG,Apogee Enterprises Inc. Common Stock,6845.0
APP,Applovin Corporation Class A Common Stock,1751008.0
APPF,AppFolio Inc. Class A Common Stock,1433195.0
APPN,Appian Corporation Class A Common Stock,1441683.0
APPS,Digital Turbine Inc. Common Stock,317788.0
APRE,Aprea Therapeutics Inc. Common stock,1781983.0
APVO,Aptevo Therapeutics Inc. Common Stock,1671584.0
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),1026980.0
APXT,Apex Treasury Corporation Class A Ordinary Share,2079253.0
APXTU,Apex Treasury Corporation Units,2079253.0
APXTW,Apex Treasury Corporation Warrants,2079253.0
APYX,Apyx Medical Corporation Common Stock,719135.0
AQB,AquaBounty Technologies Inc. Common Stock,1603978.0
AQMS,Aqua Metals Inc. Common Stock,1621832.0
AQST,Aquestive Therapeutics Inc. Common Stock,1398733.0
ARAI,Arrive AI Inc. Common Stock,1818274.0
ARAY,Accuray Incorporated Common Stock,1138723.0
ARBB,ARB IOT Group Limited Ordinary Shares,1930179.0
ARBE,Arbe Robotics Ltd. Ordinary Shares,1861841.0
ARBEW,Arbe Robotics Ltd. Warrant,1861841.0
ARBK,Argo Blockchain plc American Depositary Shares,1841675.0
ARCB,ArcBest Corporation Common Stock,894405.0
ARCC,Ares Capital Corporation Common Stock,1287750.0
ARCIU,Archimedes Tech SPAC Partners III Co. Units,2083910.0
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,1768224.0
ARDX,Ardelyx Inc. Common Stock,1437402.0
AREB,American Rebel Holdings Inc. Common Stock,1648087.0
AREBW,American Rebel Holdings Inc. Warrants,1648087.0
AREC,American Resources Corporation Class A Common Stock,1590715.0
ARGX,argenx SE American Depositary Shares,1697862.0
ARHS,Arhaus Inc. Class A Common Stock,1875444.0
ARKO,ARKO Corp. Common Stock,1823794.0
ARKR,Ark Restaurants Corp. Common Stock,779544.0
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,1086600.0
ARM,Arm Holdings plc American Depositary Shares,1973239.0
AROW,Arrow Financial Corporation Common Stock,717538.0
ARQ,Arq Inc. Common Stock,1515156.0
ARQQ,Arqit Quantum Inc. Ordinary Shares,1859690.0
ARQQW,Arqit Quantum Inc. Warrants,1859690.0
ARQT,Arcutis Biotherapeutics Inc. Common Stock,1787306.0
ARRY,Array Technologies Inc. Common Stock,1820721.0
ARTC,Art Technology Acquisition Corp. Class A Ordinary Shares,2086545.0
ARTCU,Art Technology Acquisition Corp. Units,2086545.0
ARTCW,Art Technology Acquisition Corp. Warrants,2086545.0
ARTL,Artelo Biosciences Inc. Common Stock,1621221.0
ARTNA,Artesian Resources Corporation Class A Common Stock,863110.0
ARTV,Artiva Biotherapeutics Inc. Common Stock,1817241.0
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,7623.0
ARVN,Arvinas Inc. Common Stock,1655759.0
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,879407.0
ASBP,Aspire Biopharma Holdings Inc. Common Stock,1847345.0
ASBPW,Aspire Biopharma Holdings Inc. Warrant,1847345.0
ASLE,AerSale Corporation Common Stock,1754170.0
ASMB,Assembly Biosciences Inc. Common Stock,1426800.0
ASML,ASML Holding N.V. New York Registry Shares,937966.0
ASND,Ascendis Pharma A/S American Depositary Shares,1612042.0
ASNS,Actelis Networks Inc. Common Stock,1141284.0
ASO,Academy Sports and Outdoors Inc. Common Stock,1817358.0
ASPC,A SPAC III Acquisition Corp. Class A Ordinary Shares,1890361.0
ASPCR,A SPAC III Acquisition Corp. Right,1890361.0
ASPCU,A SPAC III Acquisition Corp. Unit,1890361.0
ASPI,ASP Isotopes Inc. Common Stock,1921865.0
ASPS,Altisource Portfolio Solutions S.A. Common Stock,1462418.0
ASPSW,Altisource Portfolio Solutions S.A. Net Settle Stakeholder Warrants,1462418.0
ASPSZ,Altisource Portfolio Solutions S.A. Cash Exercise Stakeholder Warrants,1462418.0
ASRT,Assertio Holdings Inc. Common Stock,1808665.0
ASRV,AmeriServ Financial Inc. Common Stock,707605.0
ASST,Strive Inc. Class A Common Stock,1920406.0
ASTC,Astrotech Corporation (DE) Common Stock,1001907.0
ASTE,Astec Industries Inc. Common Stock,792987.0
ASTH,Astrana Health Inc. Common Stock,1083446.0
ASTI,Ascent Solar Technologies Inc. Common Stock,1350102.0
ASTL,Algoma Steel Group Inc. Common Shares,1860805.0
ASTLW,Algoma Steel Group Inc. Warrant,1860805.0
ASTS,AST SpaceMobile Inc. Class A Common Stock,1780312.0
ASUR,Asure Software Inc Common Stock,884144.0
ASYS,Amtech Systems Inc. Common Stock,720500.0
ATAI,AtaiBeckley Inc. Common Stock,1840904.0
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,1853717.0
ATCX,Atlas Critical Minerals Corporation Common Stock,1684688.0
ATEC,Alphatec Holdings Inc. Common Stock,1350653.0
ATER,Aterian Inc. Common Stock,1757715.0
ATEX,Anterix Inc. Common Stock,1304492.0
ATGL,Alpha Technology Group Limited Class A Ordinary Shares,1967621.0
ATHE,Alterity Therapeutics Limited American Depositary Shares,1131343.0
ATHR,Aether Holdings Inc. Common Stock,2026353.0
ATII,Archimedes Tech SPAC Partners II Co. Ordinary Shares,2028516.0
ATIIU,Archimedes Tech SPAC Partners II Co. Unit,2028516.0
ATIIW,Archimedes Tech SPAC Partners II Co. Warrant,2028516.0
ATLC,Atlanticus Holdings Corporation Common Stock,1464343.0
ATLCL,Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,1464343.0
